sequence,temperature,cooling,send_time_ns,receive_time_ns,udp_latency_ns
1,65.0,0,1096455991975,1096456396360,404385
2,79.0,1,1096556209278,1096556458836,249558
3,69.0,0,1096655865654,1096656123393,257739
4,61.0,0,1096755970554,1096756171269,200715
5,70.0,1,1096856097913,1096856492564,394651
6,64.0,0,1096955736759,1096955865478,128719
7,66.0,0,1097055962473,1097056118520,156047
8,78.0,1,1097155945013,1097156340645,395632
9,66.0,0,1097255742405,1097255874133,131728
10,68.0,0,1097355836752,1097355934847,98095
11,76.0,1,1097455906851,1097456080371,173520
12,61.0,0,1097555909294,1097556064084,154790
13,67.0,0,1097656063126,1097656162772,99646
14,62.0,0,1097755924490,1097756104527,180037
15,69.0,0,1097855866734,1097855989984,123250
16,74.0,1,1097955977917,1097956168731,190814
17,61.0,0,1098055920104,1098056162967,242863
18,76.0,1,1098156132389,1098156311890,179501
19,74.0,1,1098255946848,1098256114041,167193
20,77.0,1,1098356074320,1098356317364,243044
21,72.0,1,1098455852311,1098456026704,174393
22,74.0,1,1098555919744,1098556040186,120442
23,75.0,1,1098655867750,1098655976189,108439
24,68.0,0,1098756072119,1098756206477,134358
25,61.0,0,1098855630137,1098855725112,94975
26,77.0,1,1098955924964,1098956434715,509751
27,61.0,0,1099056174075,1099056316264,142189
28,66.0,0,1099156028616,1099156190985,162369
29,69.0,0,1099256059222,1099256287673,228451
30,79.0,1,1099355753814,1099355930279,176465
31,73.0,1,1099455741649,1099455901978,160329
32,74.0,1,1099555809440,1099556049113,239673
33,75.0,1,1099655835557,1099655992488,156931
34,80.0,1,1099756073297,1099756166225,92928
35,76.0,1,1099856169488,1099856501951,332463
36,65.0,0,1099956071395,1099956398609,327214
37,61.0,0,1100056315107,1100056633938,318831
38,80.0,1,1100155676578,1100155796516,119938
39,60.0,0,1100256085209,1100256293787,208578
40,65.0,0,1100355786539,1100355967968,181429
41,68.0,0,1100455813995,1100455947619,133624
42,74.0,1,1100555945971,1100556338450,392479
43,65.0,0,1100656256330,1100656444459,188129
44,73.0,1,1100755834421,1100756100331,265910
45,76.0,1,1100855644199,1100855737510,93311
46,74.0,1,1100956253472,1100956612857,359385
47,66.0,0,1101056187242,1101056350610,163368
48,78.0,1,1101156069308,1101156303595,234287
49,67.0,0,1101256353836,1101256791728,437892
50,78.0,1,1101356189702,1101356469719,280017
51,72.0,1,1101455853389,1101455997691,144302
52,79.0,1,1101556155817,1101556554753,398936
53,72.0,1,1101655863921,1101656198682,334761
54,66.0,0,1101755720106,1101755899799,179693
55,67.0,0,1101855800595,1101855888992,88397
56,71.0,1,1101955647311,1101955756295,108984
57,60.0,0,1102055795295,1102055961380,166085
58,66.0,0,1102155993425,1102156251172,257747
59,77.0,1,1102255930475,1102256143044,212569
60,69.0,0,1102355614679,1102355733151,118472
61,64.0,0,1102455901174,1102456045473,144299
62,67.0,0,1102556032612,1102556123500,90888
63,61.0,0,1102655845432,1102656124575,279143
64,77.0,1,1102756096095,1102756270039,173944
65,65.0,0,1102855823182,1102855963315,140133
66,77.0,1,1102955743819,1102955845389,101570
67,61.0,0,1103055683756,1103055834335,150579
68,66.0,0,1103156302046,1103156699851,397805
69,74.0,1,1103256144081,1103256526376,382295
70,80.0,1,1103355949957,1103356206717,256760
71,72.0,1,1103455928370,1103456352055,423685
72,80.0,1,1103555829084,1103555966056,136972
73,74.0,1,1103655742685,1103655836635,93950
74,77.0,1,1103755688788,1103755784845,96057
75,72.0,1,1103855853854,1103856131272,277418
76,69.0,0,1103956087173,1103956182938,95765
77,68.0,0,1104056164922,1104056416013,251091
78,77.0,1,1104156098578,1104156345493,246915
79,64.0,0,1104255817927,1104256129146,311219
80,75.0,1,1104355954170,1104356209591,255421
81,74.0,1,1104456112271,1104456273137,160866
82,74.0,1,1104556115498,1104556324974,209476
83,73.0,1,1104656062564,1104656180863,118299
84,63.0,0,1104755985864,1104756127355,141491
85,60.0,0,1104856055855,1104856183674,127819
86,78.0,1,1104955880784,1104956092217,211433
87,74.0,1,1105056249399,1105056681815,432416
88,79.0,1,1105155947338,1105156310701,363363
89,61.0,0,1105255992986,1105256157802,164816
90,68.0,0,1105356133224,1105356261384,128160
91,68.0,0,1105455789913,1105455917970,128057
92,65.0,0,1105555768345,1105555930290,161945
93,74.0,1,1105655819509,1105655928067,108558
94,67.0,0,1105755839355,1105756049520,210165
95,60.0,0,1105855738361,1105855910275,171914
96,79.0,1,1105955831422,1105955958329,126907
97,63.0,0,1106055814542,1106056129416,314874
98,61.0,0,1106155901599,1106156038520,136921
99,62.0,0,1106255846024,1106256119703,273679
100,75.0,1,1106355883309,1106356140929,257620
